video_id,views,likes,comments,score
v00001,611433,11079,38,622550
v00002,638709,2042,955,641706
v00003,129086,19643,6408,155137
v00004,990680,17949,1336,1009965
v00005,338495,38679,7790,384964
v00006,603709,17231,8359,629299
v00007,712428,30675,8240,751343
v00008,582335,40545,9339,632219
v00009,687162,29865,6864,723891
v00010,874538,18689,7386,900613
v00011,752480,6906,6214,765600
v00012,884574,47133,7279,938986
v00013,829072,9239,7209,845520
v00014,341898,44739,673,387310
v00015,608571,7072,8260,623903
v00016,481718,7461,6157,495336
v00017,999797,14449,9828,1024074
v00018,434748,9761,6258,450767
v00019,994940,14190,2777,1011907
v00020,50285,38090,4259,92634
v00021,749485,34286,9140,792911
v00022,93986,49984,9918,153888
v00023,308598,31833,8785,349216
v00024,441308,4446,5393,451147
v00025,509056,14202,6773,530031
v00026,422484,18605,3821,444910
v00027,935766,40054,6080,981900
v00028,836855,41936,9668,888459
v00029,637755,9817,6491,654063
v00030,328156,7913,8160,344229
v00031,223335,47265,6758,277358
v00032,727543,47176,2147,776866
v00033,798817,7515,7067,813399
v00034,587063,18517,7715,613295
v00035,595502,20173,4639,620314
v00036,820784,4289,4620,829693
v00037,758541,3118,2796,764455
v00038,918736,962,9624,929322
v00039,578951,33647,9743,622341
v00040,316136,11096,4191,331423
v00041,935260,3174,3234,941668
v00042,636669,34955,2220,673844
v00043,332199,40477,6967,379643
v00044,11077,39745,2934,53756
v00045,1679,43996,7513,53188
v00046,56876,31916,6786,95578
v00047,25757,45477,8742,79976
v00048,297534,16009,3647,317190
v00049,842223,25670,2584,870477
v00050,276948,19739,3163,299850
v00051,405562,47442,5550,458554
v00052,505126,14055,8504,527685
v00053,67754,14651,4953,87358
v00054,477997,29833,8029,515859
v00055,379567,6592,2076,388235
v00056,812477,14087,3886,830450
v00057,939820,48159,3987,991966
v00058,711818,43595,4634,760047
v00059,379649,7564,7010,394223
v00060,126424,1910,3898,132232
v00061,450817,47252,508,498577
v00062,836972,47930,9427,894329
v00063,404732,23047,9103,436882
v00064,547842,33152,5990,586984
v00065,481794,46651,5404,533849
v00066,627484,46019,6019,679522
v00067,446981,22190,1925,471096
v00068,749748,48657,7437,805842
v00069,976338,5651,9391,991380
v00070,766761,36844,2123,805728
v00071,940802,25556,4439,970797
v00072,512397,3834,7094,523325
v00073,891187,27793,8669,927649
v00074,565246,2249,1260,568755
v00075,613252,27998,2162,643412
v00076,60752,26562,5707,93021
v00077,493855,25100,4053,523008
v00078,432242,46927,2387,481556
v00079,680442,20136,734,701312
v00080,147888,18131,2274,168293
v00081,774451,13021,7569,795041
v00082,272267,12400,5699,290366
v00083,603591,37786,3633,645010
v00084,337204,38711,1169,377084
v00085,96659,34978,2016,133653
v00086,326438,41009,123,367570
v00087,730098,46188,4492,780778
v00088,657170,22639,9473,689282
v00089,707626,34820,8039,750485
v00090,597656,28311,8865,634832
v00091,656730,30712,8495,695937
v00092,971987,651,5257,977895
v00093,332533,7077,1854,341464
v00094,705605,35549,3931,745085
v00095,205334,17481,3265,226080
v00096,686679,22479,3125,712283
v00097,797587,16661,8917,823165
v00098,478985,46876,9019,534880
v00099,937977,41723,9444,989144
v00100,578111,34359,1996,614466
v00101,883034,39655,627,923316
v00102,284166,19246,4296,307708
v00103,610881,31272,5291,647444
v00104,417245,7538,7039,431822
v00105,242508,21305,230,264043
v00106,304454,22598,5746,332798
v00107,506375,10063,2058,518496
v00108,982590,961,9492,993043
v00109,155312,15160,3232,173704
v00110,443350,15146,7936,466432
v00111,684951,9095,4942,698988
v00112,753270,45137,2211,800618
v00113,505774,34389,9876,550039
v00114,56822,22675,4265,83762
v00115,915019,9061,57,924137
v00116,425445,12271,183,437899
v00117,832045,12210,5632,849887
v00118,759111,17484,147,776742
v00119,351304,772,6034,358110
v00120,953611,24528,2999,981138
v00121,439254,24926,5646,469826
